I didn't wanna do this. Shyness is a curse.	Bobby Baccalieri	To Save Us All from Satan's Power (S03E10)
I lost my shoe.	Christopher Moltisanti	Pine Barrens (S03E11)
Probably wiped your ass bare handed till you came to this country.	Paulie Gualtieri	Pine Barrens (S03E11)
He's in the woods, he's in his pajamas. It's the fucking Yukon out there.	Paulie Gualtieri	Pine Barrens (S03E11)
I could lose a foot.	Christopher Moltisanti	Pine Barrens (S03E11)
What do you think? Is she a full blown looptiloo or what?	Tony Soprano	Amour Fou (S03E12)
Stay the fuck away from Tony Soprano.	Patsy Parisi	Amour Fou (S03E12)
Amour fou as the French call it. Crazy love, all consuming.	Dr. Melfi	Amour Fou (S03E12)
Shit runs downhill, money goes up. It's that simple.	Silvio Dante	For All Debts Public and Private (S04E01)
Nostradamus, and Notre Dame. It's two different things completely.	Tony Soprano	For All Debts Public and Private (S04E01)
I'm through telling people you help with environmental cleanup.	Meadow Soprano	No Show (S04E02)
Gary Cooper. Now there was an American.	Silvio Dante	Christopher (S04E03)
If he was drowning, I'd throw him a cinderblock.	Tony Soprano	The Weight (S04E04)
Buy land, A.J., 'cause God ain't making any more of it.	Tony Soprano	Watching Too Much Television (S04E07)
You loomed.	Dr. Melfi	Watching Too Much Television (S04E07)
This place is like high school with wheelchairs.	Paulie Gualtieri	Mergers & Acquisitions (S04E08)
You fucking killed her.	Tony Soprano	Whoever Did This (S04E09)
You fat fuck!	Tony Soprano	Whoever Did This (S04E09)
Whoever did this, it should've happened a long time ago.	Christopher Moltisanti	Whoever Did This (S04E09)
Now I missed the Early Bird Special!	Junior Soprano	Whoever Did This (S04E09)
I feel like the reverend Rodney King Jr., you know? "Why can't we all just get along?"	Tony Soprano	The Strong, Silent Type (S04E10)
Can't I just be sad for a horse without some touchy-feely Freudian shit component to it?	Tony Soprano	The Strong, Silent Type (S04E10)
You've caused much suffering yourself, haven't you?	Dr. Melfi	The Strong, Silent Type (S04E10)
You're weak. You're out of control. You've become an embarrassment to yourself and everybody else.	Silvio Dante	The Strong, Silent Type (S04E10)
Get rid of that fucking picture. Burn it!	Tony Soprano	The Strong, Silent Type (S04E10)
At least I would've got a blowjob out of that!	Tony Soprano	Calling All Cars (S04E11)
Sometimes, when I'm walking down the hallway, I can smell her hair.	Bobby Baccalieri	Calling All Cars (S04E11)
She's dead, and I'm here.	Janice Soprano	Calling All Cars (S04E11)
You're only as good as your last envelope.	Silvio Dante	Eloise (S04E12)
You knew the deal.	Tony Soprano	Whitecaps (S04E13)
I found her fingernail, Tony!	Carmela Soprano	Whitecaps (S04E13)
You don't know me at all.	Carmela Soprano	Whitecaps (S04E13)
Don't worry, I'm going to hell when I die.	Carmela Soprano	Whitecaps (S04E13)
I'm a piece of shit which the world, every morning, strains and pushes out of its butt!	Tony Soprano	Whitecaps (S04E13)
We're gonna take out Carmine Lupertazzi.	Tony Soprano	Whitecaps (S04E13)
So we open the fuckin' trunk, this suffocatin' Russian cocksucker pops up!	Paulie Gualtieri	Two Tonys (S05E01)
Small hands, that was your problem.	Junior Soprano	Where's Johnny? (S05E03)
Go shit in your hat.	Junior Soprano	Where's Johnny? (S05E03)
In my day, the top spot would've gone to Little Carmine, unless he was actually retarded or crippled.	Junior Soprano	All Happy Families... (S05E04)
At least I have friends. You just have a bunch of flunkies.	Carmela Soprano	All Happy Families... (S05E04)
You sent me to North Carolina so you could fuck my girlfriend.	Christopher Moltisanti	Irregular Around the Margins (S05E05)
I might as well have fucked her. Thanks.	Tony Soprano	Irregular Around the Margins (S05E05)
From now on, anytime somebody steps in a pile of shit, it'll be known as a Blundetto.	Tony Blundetto	Sentimental Education (S05E06)
I think you're a user, Carmela.	Robert Wegler	Sentimental Education (S05E06)
You strong-armed me using the only weapon you have—your pussy.	Robert Wegler	Sentimental Education (S05E06)
I will not fucking enable you.	Christopher Moltisanti	In Camelot (S05E07)
I had a fight with my mother and I had a panic attack!	Tony Soprano	Unidentified Black Males (S05E09)
How do you like it now, bitch?	Janice Soprano	Cold Cuts (S05E10)
Revenge is like serving cold cuts.	Tony Soprano	Cold Cuts (S05E10)
Like Popeye says, 'I am what I am.'	Tony Soprano	Long Term Parking (S05E12)
She was an FBI agent, Christopher. She lied to me.	Adriana La Cerva	Long Term Parking (S05E12)
They wanted me to wear a wire, but I wouldn't do it.	Adriana La Cerva	Long Term Parking (S05E12)
I fuckin' loved you!	Christopher Moltisanti	Long Term Parking (S05E12)
You got no fuckin' idea what it's like to be number one.	Tony Soprano	All Due Respect (S05E13)
Every decision you make affects every facet of every other fuckin' thing.	Tony Soprano	All Due Respect (S05E13)
And in the end, you're completely alone with it all.	Tony Soprano	All Due Respect (S05E13)
Seven deadly sins and yours is pride.	Dr. Melfi	All Due Respect (S05E13)
There's no retirin' from this.	Tony Soprano	Members Only (S06E01)
In the end, your friends are gonna let you down. Family. They're the only ones you can depend on.	Tony Soprano	Members Only (S06E01)
He "Marvin Gayed" his own nephew, the boss of this family.	Vito Spatafore	Join the Club (S06E02)
I'm going to put a bullet in his fucking mummy head.	A.J. Soprano	Join the Club (S06E02)
I'm 46 years old. I mean, who am I? Where am I going?	Tony Soprano	Join the Club (S06E02)
My idea is 'Saw' meets 'Godfather 2.'	Christopher Moltisanti	Mayham (S06E03)
Every day is a gift.	Tony Soprano	The Fleshy Part of the Thigh (S06E04)
It's 2006. There's pillow biters in the special forces.	Tony Soprano	Live Free or Die (S06E06)
Log line: 'The Ring' meets 'The Godfather.'	Christopher Moltisanti	Luxury Lounge (S06E07)
I got a baguette in my pants now 24/7.	Tony Soprano	Johnny Cakes (S06E08)
I swallowed my pride when your murdering fuck of a cousin killed my brother.	Phil Leotardo	Johnny Cakes (S06E08)
A man is not complete till he's married. Then he's finished.	Tony Soprano	The Ride (S06E09)
Being a rat, where I'm comin' from, that's like asking a person where you're comin' from to become a fuckin' Nazi.	Johnny Sack	Moe n' Joe (S06E10)
A note from your doctor saying you don't like to suck cock?	Tony Soprano	Cold Stones (S06E11)
We worry so much. Sometimes it feels like that's all we do, but in the end it just gets washed away.	Carmela Soprano	Cold Stones (S06E11)
You don't have to eat every dish of rigatoni. You don't have to fuck every female you meet.	Dr. Melfi	Kaisha (S06E12)
So there is a Santa Claus.	Tony Soprano	Kaisha (S06E12)
Would I shit you? You're my favorite turd.	Tony Soprano	Soprano Home Movies (S06E13)
That throw rug hadn't been there, would've been Bobby on his back, not me.	Tony Soprano	Soprano Home Movies (S06E13)
And there's no stage five.	Johnny Sack	Stage 5 (S06E14)
You can't kill me twice, Sally Boy. I'm already fucking dead, remember?	Johnny Sack	Stage 5 (S06E14)
It's a revenge fantasy, Tony, which ends with the boss's head split open by a meat cleaver.	Dr. Melfi	Stage 5 (S06E14)
When I'm gone, you can live in a fucking dumpster.	Tony Soprano	Chasing It (S06E16)
When I was using, I was a disgrace. Now I'm sober, and I'm a drip.	Christopher Moltisanti	Walk Like a Man (S06E17)
Go have a Lime Rickey or whatever the fuck it is you're drinking.	Tony Soprano	Walk Like a Man (S06E17)
This therapy is a jerk-off. You know it, and I know it.	Tony Soprano	Walk Like a Man (S06E17)
After all the complaining and the crying and all the fucking bullshit, is this all there is?	Tony Soprano	Walk Like a Man (S06E17)
The biggest blunder of my career is now gone.	Tony Soprano	Kennedy and Heidi (S06E18)
You know the baby's car seat? A giant tree branch came through the window and demolished it.	Tony Soprano	Kennedy and Heidi (S06E18)
I wanted to fuck a woman, but I compromised. I jacked off in a tissue.	Phil Leotardo	The Second Coming (S06E19)
My fucking daughter? My fucking daughter, you motherfucker.	Tony Soprano	The Second Coming (S06E19)
The blood-dimmed tide is loosed, and everywhere, the ceremony of innocence is drowned.	A.J. Soprano	The Second Coming (S06E19)
I don't think I can help you.	Dr. Melfi	The Blue Comet (S06E20)
Now what the fuck is this? You're firing me?	Tony Soprano	The Blue Comet (S06E20)
You don't know who I am, do you?	Tony Soprano	Made in America (S06E21)
We did?	Junior Soprano	Made in America (S06E21)
Focus on the good times.	Tony Soprano	Made in America (S06E21)
Remind me, please, never to have a serious illness, because, with you, and Silvio, and Paulie, and all you pricks, weakness could spread as fuckin' treason!	Tony Soprano	Guy Walks Into a Psychiatrist's Office (S02E01)
I'll let you ask me about my affairs.	Silvio Dante	Guy Walks Into a Psychiatrist's Office (S02E01)
It's killing you that people are talking that an old woman made an asshole out of you.	Junior Soprano	Do Not Resuscitate (S02E02)
Dead people don't have houses.	Tony Soprano	Do Not Resuscitate (S02E02)
How Tony Soprano likes to fluff up his mother's pillow so she can get a nice long sleep.	Junior Soprano	Do Not Resuscitate (S02E02)
She's dead to me.	Tony Soprano	Do Not Resuscitate (S02E02)
You come ridin' into town like some Vishnu-come-lately and try to play the concerned daughter.	Tony Soprano	Toodle-Fucking-Oo (S02E03)
Ten years, and not even a pleasant 'go fuck yourself' from you I get.	Richie Aprile	Toodle-Fucking-Oo (S02E03)
Commendatori, like a commander, I like that, that's respect.	Paulie Gualtieri	Commendatori (S02E04)
You're like a fucking child. With the food and the pussy, what's going on here, Paulie?	Tony Soprano	Commendatori (S02E04)
Richie, because of his life experience in prison, he has a sensitivity to the plight of women.	Janice Soprano	Commendatori (S02E04)
Oh please, let the pope live with him.	Angie Bonpensiero	Commendatori (S02E04)
I'd like to take a brick and smash your fucking face into fucking hamburger.	Tony Soprano	The Happy Wanderer (S02E06)
Everything this family has comes from the work I do.	Tony Soprano	The Happy Wanderer (S02E06)
What makes you think you're so special?	Livia Soprano	D-Girl (S02E07)
Death just shows the ultimate absurdity of life.	A.J. Soprano	D-Girl (S02E07)
Don't expect happiness, you won't get it.	Livia Soprano	D-Girl (S02E07)
The world is a jungle.	Livia Soprano	D-Girl (S02E07)
How can I express how little I give a fuck?	Christopher Moltisanti	Full Leather Jacket (S02E08)
Like the Tao says, you got to shut one door before another one can open.	Richie Aprile	Full Leather Jacket (S02E08)
You want to commit suicide, tie your shoes and have a bite of bracioll'.	Paulie Gualtieri	Mr. Ruggerio's Neighborhood (S03E01)
I can't stand touching fucking shoe laces.	Paulie Gualtieri	Mr. Ruggerio's Neighborhood (S03E01)
Der Bingle's up early today, he's in the Caddy.	FBI Surveillance Agent	Mr. Ruggerio's Neighborhood (S03E01)
They're droppin' like fucking flies.	Junior Soprano	Proshai, Livushka (S03E02)
It's all that charcoal-broiled meat you people ate.	Junior Soprano	Proshai, Livushka (S03E02)
We suffered for years under the yoke of that woman. Years!	Carmela Soprano	Proshai, Livushka (S03E02)
Proshai, Livushka.	Svetlana Kirilenko	Proshai, Livushka (S03E02)
She might have testified against me, so when I heard she was dead, relief flooded into my veins.	Tony Soprano	Proshai, Livushka (S03E02)
My only problem in life, I gotta kick my points to that man over there.	Christopher Moltisanti	Fortunate Son (S03E03)
This thing is a pyramid, since time immemorial.	Silvio Dante	For All Debts Public and Private (S04E01)
These fucking lawyers are taking my internal organs.	Junior Soprano	For All Debts Public and Private (S04E01)
Listen to Mr. Mob Boss.	Meadow Soprano	No Show (S04E02)
What is this, Afghanistan?	Meadow Soprano	No Show (S04E02)
He was gay, Gary Cooper?	Tony Soprano	Christopher (S04E03)
It's anti-Italian discrimination.	Silvio Dante	Christopher (S04E03)
Is clipping him gonna unring that bell?	Carmine Lupertazzi	The Weight (S04E04)
Is nothing sacred? I mean, this is my wife we're talking about here.	Johnny Sack	The Weight (S04E04)
Fucked up thing is, I don't even like Ralph.	Tony Soprano	The Weight (S04E04)
It's tradition. Like in ancient times, the samurais had these pages.	Paulie Gualtieri	Two Tonys (S05E01)
You take what you want from them by force or the threat of force.	Dr. Melfi	Two Tonys (S05E01)
You're not a truthful person.	Dr. Melfi	Two Tonys (S05E01)
I'm the boss of this fucking family. You're crowding me.	Tony Soprano	Rat Pack (S05E02)
Every place I go, I got substances I can't enjoy shoved in my face.	Christopher Moltisanti	Rat Pack (S05E02)
What is it with you and this obsession with this varsity crap?	Tony Soprano	Where's Johnny? (S05E03)
You don't like the way I talk, get outta my house!	Tony Soprano	Where's Johnny? (S05E03)
They compliment you on your new shoes. They tell you that you're not going bald.	Carmela Soprano	All Happy Families... (S05E04)
I said the 'F' word.	A.J. Soprano	All Happy Families... (S05E04)
You're finished. You're never gonna drive that car till you're 45 years old.	Tony Soprano	All Happy Families... (S05E04)
I got to live in the world. And now I look like Joe Jerkoff.	Tony Soprano	Irregular Around the Margins (S05E05)
If you can't keep it in your pants, you have to stay away from her.	Dr. Melfi	Irregular Around the Margins (S05E05)
I'm sick of this fuckin' prejudice against ex-cons.	Tony Blundetto	Sentimental Education (S05E06)
I'm so fucking blue.	Junior Soprano	In Camelot (S05E07)
That same farm must have 17 billion dogs on it. Dogshit up to the rafters.	Tony Soprano	In Camelot (S05E07)
You eat, I pay.	Tony Soprano	Unidentified Black Males (S05E09)
Guy gets out of jail, suddenly I'm dogshit in Tony's eye.	Christopher Moltisanti	Unidentified Black Males (S05E09)
Ever since I cleaned up, no matter what he says, Tony don't believe a person can change.	Christopher Moltisanti	Unidentified Black Males (S05E09)
I think it's, 'Revenge is a dish best served cold.'	Dr. Melfi	Cold Cuts (S05E10)
Get control of your wife!	Tony Soprano	Cold Cuts (S05E10)
The times make the man, honey, not the other way around.	Janice Soprano	Mayham (S06E03)
Marianuccia is your aunt. I'm your ma.	Aunt Dottie	The Fleshy Part of the Thigh (S06E04)
You're a fraud, and a phony. And she's even worse. She's a whore.	Paulie Gualtieri	The Fleshy Part of the Thigh (S06E04)
Get out of my room, you sick cunt.	Tony Soprano	The Fleshy Part of the Thigh (S06E04)
To cry like a woman? It's a fucking disgrace.	Silvio Dante	Mr. & Mrs. John Sacrimoni Request... (S06E05)
If they can make him cry and if he's that weak, what the fuck else can they make him do?	Phil Leotardo	Mr. & Mrs. John Sacrimoni Request... (S06E05)
People see only what you allow them to see.	Tony Soprano	Mr. & Mrs. John Sacrimoni Request... (S06E05)
It's Sir Ben, actually.	Ben Kingsley	Luxury Lounge (S06E07)
